,Index Number,Name,Address,Project Status,Occupancy Year,Operator,URL,Geom,Local Area,unit_count,unit_category,unit_detail
8662,394,,188 Milross Ave,Completed,2002,City Gate Co-op Hsg Asoc.,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=394,POINT (-123.10039806 49.27563582),Downtown,10,Design,Standard 1BR
8663,400,,1254 E 8th Ave,Completed,2004,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=400,POINT (-123.07803227 49.2630781),Mount Pleasant,2,Design,Standard 1BR
8665,405,,1220 Salsbury Dr,Completed,1981,Vancouver East Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=405,POINT (-123.06726741 49.27352487),Grandview-Woodland,4,Design,Standard 1BR
8667,417,,1122 Comox St,Completed,2001,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=417,POINT (-123.12999955 49.28201171),West End,4,Design,Standard 1BR
8668,420,,1146 Comox St,Completed,2001,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=420,POINT (-123.13049068 49.28232982),West End,5,Design,Standard 1BR
8669,422,,1137 Pendrell St,Completed,2002,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=422,POINT (-123.1306738 49.28181043),West End,4,Design,Standard 1BR
8670,424,,1154 Comox St,Completed,2003,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=424,POINT (-123.13068653 49.2824566),West End,2,Design,Standard 1BR
8671,425,,1160 Comox St,Completed,2003,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=425,POINT (-123.1307847 49.2825202),West End,1,Design,Standard 1BR
8673,427,,1170 Comox St,Completed,2003,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=427,POINT (-123.13108016 49.2827116),West End,1,Design,Standard 1BR
8674,434,,1157 Pendrell St,Completed,2003,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=434,POINT (-123.1311698 49.28213766),West End,7,Design,Standard 1BR
8675,440,,1119 Thurlow St,Completed,2003,Mole Hill Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=440,POINT (-123.13018469 49.28131028),West End,6,Design,Standard 1BR
8679,492,,2864 E 5th Ave,Completed,1983,Access Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=492,POINT (-123.04557776 49.26540171),Hastings-Sunrise,3,Design,Standard 1BR
8681,503,,3355 E 4th Avenue,Completed,2006,Hopehill,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=503,POINT (-123.03143236 49.26621509),Hastings-Sunrise,48,Design,Standard 1BR
8682,530,,3131 E 58th Ave,Completed,2007,Salvation Army,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=530,POINT (-123.04055272 49.21773661),Killarney,57,Design,Standard 1BR
8685,634,,2980 Nanaimo,Completed,2012,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=634,POINT (-123.05614045 49.25719768),Renfrew-Collingwood,3,Design,Standard 1BR
8688,649,,151 W. 1st Ave.,Completed,2010,Co-operative Housing Federation of BC,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=649,POINT (-123.10861889 49.27064319),Mount Pleasant,3,Design,Standard 1BR
8690,692,,1436 West 71st Avenue,Completed,2008,Tikva Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=692,POINT (-123.13817325 49.20677619),Marpole,9,Design,Standard 1BR
8691,705,,2304 W 8th Av,Completed,2012,Kitsilano Neighbourhood House,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=705,POINT (-123.15800935 49.26456261),Kitsilano,33,Design,Standard 1BR
8692,708,,618 Commercial Dr,Completed,2010,Coast Mental Health,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=708,POINT (-123.0701159 49.27910862),Grandview-Woodland,16,Design,Standard 1BR
8693,710,,728 W 8th Ave,Completed,2012,Heritage Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=710,POINT (-123.12046637 49.2639696),Fairview,4,Design,Standard 1BR
8699,775,,1720 Kingsway,Completed,2017,Sanford Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=775,POINT (-123.06946375 49.24684661),Kensington-Cedar Cottage,48,Design,Standard 1BR
8701,791,,1495 W 8th Ave,Completed,2021,Vancouver Masonic Centre,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=791,POINT (-123.13751409 49.26497349),Fairview,41,Design,Standard 1BR
8702,792,,946 - 950 Main St,Completed,2021,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=792,POINT (-123.09948504 49.27598238),Strathcona,4,Design,Standard 1BR
8703,798,,5688 Ash St,Completed,2019,Oakridge Lutheran Church Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=798,POINT (-123.11760049 49.23385582),South Cambie,15,Design,Standard 1BR
8704,800,,500-650 W 57th Ave,Approved,,,,POINT (-123.11780837 49.21835764),Marpole,45,Design,Standard 1BR
8705,802,,124 Dunlevy Ave,Completed,2021,City of Vancouver,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=802,POINT (-123.0948261 49.28373962),Strathcona,19,Design,Standard 1BR
8706,811,,401 Jackson Ave,Under Construction,,Aboriginal Land Trust Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=811,,Unknown,37,Design,Standard 1BR
8707,814,,177 W Pender St,Under Construction,,Community Land Trust Foundation of BC,,POINT (-123.10920892 49.28166995),Downtown,2,Design,Standard 1BR
8708,815,,75 SW Marine Dr,Completed,2022,New Chelsea Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=815,POINT (-123.10773385 49.21271041),Marpole,12,Design,Standard 1BR
8709,819,,320 E Hastings St,Under Construction,,,,POINT (-123.09704179 49.28098552),Strathcona,49,Design,Standard 1BR
8710,831,,650 W 41st Ave,Under Construction,,Sanford Housing Society,,,Unknown,60,Design,Standard 1BR
8712,849,,625-777 Pacific St,Approved,,More Than A Roof Housing Society,,POINT (-123.12818293 49.27489867),Downtown,58,Design,Standard 1BR
8713,852,,1190 Burrard St,Under Construction,,McLaren Housing Society of BC,,,Unknown,11,Design,Standard 1BR
8714,854,,2050 Rupert St,Under Construction,,Hopehill,,POINT (-123.03326161 49.26621497),Hastings-Sunrise,13,Design,Standard 1BR
8715,857,,5250 Ash St,Approved,,,,POINT (-123.1173014 49.2376526),South Cambie,25,Design,Standard 1BR
8716,859,,3279 - 3297 Vanness Ave,Under Construction,,,,,Unknown,13,Design,Standard 1BR
8717,862,,3819 Boundary Rd,Completed,2021,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=862,POINT (-123.02424893 49.25040035),Renfrew-Collingwood,16,Design,Standard 1BR
8718,866,,3625 Sawmill Crescent,Completed,2021,Catalyst Community Developments Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=866,POINT (-123.02444018 49.20668835),Killarney,20,Design,Standard 1BR
8719,869,,1102 - 1138 E Georgia St,Completed,2024,Anhart Community Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=869,POINT (-123.08077596 49.27797526),Strathcona,5,Design,Standard 1BR
8720,871,,1325 Burnaby St,Completed,2000,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=871,POINT (-123.13613725 49.28256925),West End,11,Design,Standard 1BR
8721,883,,1001 Kingsway,Proposed,,,,POINT (-123.08348134 49.25412044),Kensington-Cedar Cottage,17,Design,Standard 1BR
8722,889,,1885 E Pender St,Proposed,,,,POINT (-123.06602928 49.28048558),Grandview-Woodland,11,Design,Standard 1BR
8723,890,,4949-5255 Heather St & 657 W 37th Ave,Approved,,,,POINT (-123.12185811 49.24025538),South Cambie,161,Design,Standard 1BR
8724,891,,546 W 13th Ave,Under Construction,,Soroptimist Club of Vancouver,,,Unknown,37,Design,Standard 1BR
8725,894,,2929 Commercial Dr,Approved,,,,POINT (-123.07023083 49.25839773),Kensington-Cedar Cottage,21,Design,Standard 1BR
8726,896,,1317 Richard St & 508 Drake St,Under Construction,,,,POINT (-123.12635099 49.27484364),Downtown,84,Design,Standard 1BR
8727,898,,2924 Venables St,Under Construction,,Brightside Community Homes Foundation,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=898,,Unknown,85,Design,Standard 1BR
8728,901,,4902 James St,Under Construction,,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=901,,Unknown,1,Design,Standard 1BR
8731,920,,1210 Seymour St,Under Construction,,,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=920,POINT (-123.125212 49.27614383),Downtown,12,Design,Standard 1BR
8732,935,,949 W 41st Ave and 5469-5507 Willow St,Approved,,,,POINT (-123.12472797 49.23414343),South Cambie,99,Design,Standard 1BR
8733,937,,1810 Alberni St / 1818 Alberni,Under Construction,,,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=937,,Unknown,10,Design,Standard 1BR
8735,945,,774 W 13th Ave,Approved,,Metro Vancouver Housing Corporation,,,Unknown,48,Design,Standard 1BR
8736,947,,52-92 E Hastings St,Under Construction,,Lu'Ma Native Housing Society,,POINT (-123.10272097 49.28108972),Downtown,21,Design,Standard 1BR
8740,971,,1111 Broughton St,Proposed,,,,POINT (-123.13509264 49.28476615),West End,84,Design,Standard 1BR
